Country Code,Country Name,Region, Value 
AFG,Afghanistan,South Asia,35.25
ALB,Albania,Europe & Central Asia,12.88
DZA,Algeria,Middle East & North Africa,24.74
AGO,Angola,Sub-Saharan Africa,45.99
ATG,Antigua and Barbuda,Latin America & Caribbean,16.45
ARG,Argentina,Latin America & Caribbean,17.72
ARM,Armenia,Europe & Central Asia,13.31
ABW,Aruba,Latin America & Caribbean,10.24
AUS,Australia,East Asia & Pacific,13.2
AUT,Austria,Europe & Central Asia,9.4
AZE,Azerbaijan,Europe & Central Asia,18.3
BHS,"Bahamas, The",Latin America & Caribbean,15.34
BHR,Bahrain,Middle East & North Africa,15.04
BGD,Bangladesh,South Asia,20.14
BRB,Barbados,Latin America & Caribbean,12.19
BLR,Belarus,Europe & Central Asia,12.5
BEL,Belgium,Europe & Central Asia,11.2
BLZ,Belize,Latin America & Caribbean,23.09
BEN,Benin,Sub-Saharan Africa,36.44
BMU,Bermuda,North America,10.4
BTN,Bhutan,South Asia,18.13
BOL,Bolivia,Latin America & Caribbean,24.24
BIH,Bosnia and Herzegovina,Europe & Central Asia,9.06
BWA,Botswana,Sub-Saharan Africa,25.27
BRA,Brazil,Latin America & Caribbean,14.93
BRN,Brunei Darussalam,East Asia & Pacific,16.41
BGR,Bulgaria,Europe & Central Asia,9.2
BFA,Burkina Faso,Sub-Saharan Africa,40.55
BDI,Burundi,Sub-Saharan Africa,44.15
CPV,Cabo Verde,Sub-Saharan Africa,21.63
KHM,Cambodia,East Asia & Pacific,24.46
CMR,Cameroon,Sub-Saharan Africa,37.24
CAN,Canada,North America,10.9
CYM,Cayman Islands,Latin America & Caribbean,12.5
CAF,Central African Republic,Sub-Saharan Africa,34.08
TCD,Chad,Sub-Saharan Africa,45.75
CHI,Channel Islands,Europe & Central Asia,9.52
CHL,Chile,Latin America & Caribbean,13.39
CHN,China,East Asia & Pacific,12.1
COL,Colombia,Latin America & Caribbean,16.08
COM,Comoros,Sub-Saharan Africa,34.33
ZAR,"Congo, Dem. Rep.",Sub-Saharan Africa,42.39
COG,"Congo, Rep.",Sub-Saharan Africa,37.01
CRI,Costa Rica,Latin America & Caribbean,15.02
CIV,Cote d'Ivoire,Sub-Saharan Africa,37.32
HRV,Croatia,Europe & Central Asia,9.4
CUB,Cuba,Latin America & Caribbean,10.4
CUW,Curacao,Latin America & Caribbean,12.7
CYP,Cyprus,Europe & Central Asia,11.44
CZE,Czech Republic,Europe & Central Asia,10.2
DNK,Denmark,Europe & Central Asia,10
DJI,Djibouti,Middle East & North Africa,25.49
DOM,Dominican Republic,Latin America & Caribbean,21.2
ECU,Ecuador,Latin America & Caribbean,21.07
EGY,"Egypt, Arab Rep.",Middle East & North Africa,28.03
